"time","Gateway"
2023-07-18 22:55:59,76
2023-07-18 22:56:00,76
2023-07-18 22:56:01,76
2023-07-18 22:56:02,76
2023-07-18 22:56:03,76
2023-07-18 22:56:04,76
2023-07-18 22:56:05,76
2023-07-18 22:56:06,76
2023-07-18 22:56:07,76
2023-07-18 22:56:08,76
2023-07-18 22:56:09,76
2023-07-18 22:56:10,76
2023-07-18 22:56:11,76
2023-07-18 22:56:12,76
2023-07-18 22:56:13,76
2023-07-18 22:56:14,76
2023-07-18 22:56:15,76
2023-07-18 22:56:16,76
2023-07-18 22:56:17,76
2023-07-18 22:56:18,76
2023-07-18 22:56:19,76
2023-07-18 22:56:20,76
2023-07-18 22:56:21,76
2023-07-18 22:56:22,76
2023-07-18 22:56:23,76
2023-07-18 22:56:24,76
2023-07-18 22:56:25,76
2023-07-18 22:56:26,76
2023-07-18 22:56:27,76
2023-07-18 22:56:28,76
2023-07-18 22:56:29,76
2023-07-18 22:56:30,76
2023-07-18 22:56:31,76
2023-07-18 22:56:32,76
2023-07-18 22:56:33,76
2023-07-18 22:56:34,76
2023-07-18 22:56:35,76
2023-07-18 22:56:36,76
2023-07-18 22:56:37,76
2023-07-18 22:56:38,76
2023-07-18 22:56:39,76
2023-07-18 22:56:40,76
2023-07-18 22:56:41,76
2023-07-18 22:56:42,76
2023-07-18 22:56:43,76
2023-07-18 22:56:44,76
2023-07-18 22:56:45,76
2023-07-18 22:56:46,76
2023-07-18 22:56:47,76
2023-07-18 22:56:48,75
2023-07-18 22:56:49,75
2023-07-18 22:56:50,76
2023-07-18 22:56:51,76
2023-07-18 22:56:52,76
2023-07-18 22:56:53,76
2023-07-18 22:56:54,75
2023-07-18 22:56:55,75
2023-07-18 22:56:56,75
2023-07-18 22:56:57,75
2023-07-18 22:56:58,75
2023-07-18 22:56:59,75
2023-07-18 22:57:00,75
2023-07-18 22:57:01,75
2023-07-18 22:57:02,75
2023-07-18 22:57:03,75
2023-07-18 22:57:04,75
2023-07-18 22:57:05,75
2023-07-18 22:57:06,75
2023-07-18 22:57:07,75
2023-07-18 22:57:08,75
2023-07-18 22:57:09,75
2023-07-18 22:57:10,75
2023-07-18 22:57:11,75
2023-07-18 22:57:12,75
2023-07-18 22:57:13,75
2023-07-18 22:57:14,75
2023-07-18 22:57:15,75
2023-07-18 22:57:16,75
2023-07-18 22:57:17,75
2023-07-18 22:57:18,75
2023-07-18 22:57:19,75
2023-07-18 22:57:20,75
2023-07-18 22:57:21,75
2023-07-18 22:57:22,75
2023-07-18 22:57:23,75
2023-07-18 22:57:24,75
2023-07-18 22:57:25,75
2023-07-18 22:57:26,75
2023-07-18 22:57:27,75
2023-07-18 22:57:28,75
2023-07-18 22:57:29,75
2023-07-18 22:57:30,75
2023-07-18 22:57:31,75
2023-07-18 22:57:32,75
2023-07-18 22:57:33,75
2023-07-18 22:57:34,75
2023-07-18 22:57:35,75
2023-07-18 22:57:36,75
2023-07-18 22:57:37,75
2023-07-18 22:57:38,75
2023-07-18 22:57:39,75
2023-07-18 22:57:40,75
2023-07-18 22:57:41,75
2023-07-18 22:57:42,75
2023-07-18 22:57:43,75
2023-07-18 22:57:44,75
2023-07-18 22:57:45,75
2023-07-18 22:57:46,75
2023-07-18 22:57:47,75
2023-07-18 22:57:48,75
2023-07-18 22:57:49,75
2023-07-18 22:57:50,75
2023-07-18 22:57:51,75
2023-07-18 22:57:52,75
2023-07-18 22:57:53,75
2023-07-18 22:57:54,75
2023-07-18 22:57:55,75
2023-07-18 22:57:56,75
2023-07-18 22:57:57,75
2023-07-18 22:57:58,75
2023-07-18 22:57:59,75
2023-07-18 22:58:00,75
2023-07-18 22:58:01,75
2023-07-18 22:58:02,75
2023-07-18 22:58:03,75
2023-07-18 22:58:04,75
2023-07-18 22:58:05,75
2023-07-18 22:58:06,75
2023-07-18 22:58:07,75
2023-07-18 22:58:08,75
2023-07-18 22:58:09,75
2023-07-18 22:58:10,75
2023-07-18 22:58:11,75
2023-07-18 22:58:12,75
2023-07-18 22:58:13,75
2023-07-18 22:58:14,75
2023-07-18 22:58:15,75
2023-07-18 22:58:16,75
2023-07-18 22:58:17,75
2023-07-18 22:58:18,75
2023-07-18 22:58:19,75
2023-07-18 22:58:20,75
2023-07-18 22:58:21,75
2023-07-18 22:58:22,75
2023-07-18 22:58:23,75
2023-07-18 22:58:24,75
2023-07-18 22:58:25,75
2023-07-18 22:58:26,75
2023-07-18 22:58:27,75
2023-07-18 22:58:28,75
2023-07-18 22:58:29,75
2023-07-18 22:58:30,75
2023-07-18 22:58:31,75
2023-07-18 22:58:32,75
2023-07-18 22:58:33,75
2023-07-18 22:58:34,75
2023-07-18 22:58:35,75
2023-07-18 22:58:36,75
2023-07-18 22:58:37,75
2023-07-18 22:58:38,75
2023-07-18 22:58:39,75
2023-07-18 22:58:40,75
2023-07-18 22:58:41,75
2023-07-18 22:58:42,75
2023-07-18 22:58:43,75
2023-07-18 22:58:44,75
2023-07-18 22:58:45,75
2023-07-18 22:58:46,75
2023-07-18 22:58:47,75
2023-07-18 22:58:48,75
2023-07-18 22:58:49,75
2023-07-18 22:58:50,75
2023-07-18 22:58:51,75
2023-07-18 22:58:52,75
2023-07-18 22:58:53,75
2023-07-18 22:58:54,75
2023-07-18 22:58:55,75
2023-07-18 22:58:56,75
2023-07-18 22:58:57,75
2023-07-18 22:58:58,75
2023-07-18 22:58:59,75
2023-07-18 22:59:00,75
2023-07-18 22:59:01,75
2023-07-18 22:59:02,75
2023-07-18 22:59:03,75
2023-07-18 22:59:04,75
2023-07-18 22:59:05,75
2023-07-18 22:59:06,75
2023-07-18 22:59:07,75
2023-07-18 22:59:08,75
2023-07-18 22:59:09,75
2023-07-18 22:59:10,75
2023-07-18 22:59:11,75
2023-07-18 22:59:12,75
2023-07-18 22:59:13,75
2023-07-18 22:59:14,75
2023-07-18 22:59:15,75
2023-07-18 22:59:16,75
2023-07-18 22:59:17,75
2023-07-18 22:59:18,75
2023-07-18 22:59:19,75
2023-07-18 22:59:20,75
2023-07-18 22:59:21,75
2023-07-18 22:59:22,75
2023-07-18 22:59:23,75
2023-07-18 22:59:24,75
2023-07-18 22:59:25,75
2023-07-18 22:59:26,75
2023-07-18 22:59:27,75
2023-07-18 22:59:28,75
2023-07-18 22:59:29,75
2023-07-18 22:59:30,75
2023-07-18 22:59:31,75
2023-07-18 22:59:32,75
2023-07-18 22:59:33,75
2023-07-18 22:59:34,75
2023-07-18 22:59:35,75
2023-07-18 22:59:36,75
2023-07-18 22:59:37,75
2023-07-18 22:59:38,75
2023-07-18 22:59:39,75
2023-07-18 22:59:40,75
2023-07-18 22:59:41,75
2023-07-18 22:59:42,75
2023-07-18 22:59:43,75
2023-07-18 22:59:44,75
2023-07-18 22:59:45,75
2023-07-18 22:59:46,75
2023-07-18 22:59:47,75
2023-07-18 22:59:48,75
2023-07-18 22:59:49,75
2023-07-18 22:59:50,75
2023-07-18 22:59:51,75
2023-07-18 22:59:52,75
2023-07-18 22:59:53,75
2023-07-18 22:59:54,75
2023-07-18 22:59:55,75
2023-07-18 22:59:56,75
2023-07-18 22:59:57,75
2023-07-18 22:59:58,75
2023-07-18 22:59:59,75
2023-07-18 23:00:00,75
2023-07-18 23:00:01,75
2023-07-18 23:00:02,75
2023-07-18 23:00:03,75
2023-07-18 23:00:04,75
2023-07-18 23:00:05,75
2023-07-18 23:00:06,75
2023-07-18 23:00:07,75
2023-07-18 23:00:08,75
2023-07-18 23:00:09,75
2023-07-18 23:00:10,75
2023-07-18 23:00:11,75
2023-07-18 23:00:12,75
2023-07-18 23:00:13,75
2023-07-18 23:00:14,75
2023-07-18 23:00:15,75
2023-07-18 23:00:16,75
2023-07-18 23:00:17,75
2023-07-18 23:00:18,75
2023-07-18 23:00:19,75
2023-07-18 23:00:20,75
2023-07-18 23:00:21,75
2023-07-18 23:00:22,75
2023-07-18 23:00:23,75
2023-07-18 23:00:24,75
2023-07-18 23:00:25,75
2023-07-18 23:00:26,75
2023-07-18 23:00:27,75
2023-07-18 23:00:28,75
2023-07-18 23:00:29,75
2023-07-18 23:00:30,75
2023-07-18 23:00:31,75
2023-07-18 23:00:32,75
2023-07-18 23:00:33,75
2023-07-18 23:00:34,75
2023-07-18 23:00:35,75
2023-07-18 23:00:36,75
2023-07-18 23:00:37,75
2023-07-18 23:00:38,75
2023-07-18 23:00:39,75
2023-07-18 23:00:40,75
2023-07-18 23:00:41,75
2023-07-18 23:00:42,75
2023-07-18 23:00:43,75
2023-07-18 23:00:44,75
2023-07-18 23:00:45,75
2023-07-18 23:00:46,75
2023-07-18 23:00:47,75
2023-07-18 23:00:48,75
2023-07-18 23:00:49,75
2023-07-18 23:00:50,75
2023-07-18 23:00:51,75
2023-07-18 23:00:52,75
2023-07-18 23:00:53,75
2023-07-18 23:00:54,75
2023-07-18 23:00:55,75
2023-07-18 23:00:56,75
2023-07-18 23:00:57,75
2023-07-18 23:00:58,75
2023-07-18 23:00:59,75
2023-07-18 23:01:00,75
2023-07-18 23:01:01,75
2023-07-18 23:01:02,75
2023-07-18 23:01:03,75
2023-07-18 23:01:04,75
2023-07-18 23:01:05,75
2023-07-18 23:01:06,75
2023-07-18 23:01:07,75
2023-07-18 23:01:08,75
2023-07-18 23:01:09,75
2023-07-18 23:01:10,75
2023-07-18 23:01:11,75
2023-07-18 23:01:12,75
2023-07-18 23:01:13,75
2023-07-18 23:01:14,75
2023-07-18 23:01:15,75
2023-07-18 23:01:16,75
2023-07-18 23:01:17,75
2023-07-18 23:01:18,75
2023-07-18 23:01:19,75
2023-07-18 23:01:20,75
2023-07-18 23:01:21,75
2023-07-18 23:01:22,75
2023-07-18 23:01:23,75
2023-07-18 23:01:24,75
2023-07-18 23:01:25,75
2023-07-18 23:01:26,75
2023-07-18 23:01:27,75
2023-07-18 23:01:28,75
2023-07-18 23:01:29,75
2023-07-18 23:01:30,75
2023-07-18 23:01:31,75
2023-07-18 23:01:32,75
2023-07-18 23:01:33,75
2023-07-18 23:01:34,75
2023-07-18 23:01:35,75
2023-07-18 23:01:36,75
2023-07-18 23:01:37,75
2023-07-18 23:01:38,75
2023-07-18 23:01:39,75
2023-07-18 23:01:40,75
2023-07-18 23:01:41,75
2023-07-18 23:01:42,75
2023-07-18 23:01:43,75
2023-07-18 23:01:44,75
2023-07-18 23:01:45,75
2023-07-18 23:01:46,75
2023-07-18 23:01:47,75
2023-07-18 23:01:48,75
2023-07-18 23:01:49,75
2023-07-18 23:01:50,75
2023-07-18 23:01:51,75
2023-07-18 23:01:52,75
2023-07-18 23:01:53,75
2023-07-18 23:01:54,75
2023-07-18 23:01:55,75
2023-07-18 23:01:56,75
2023-07-18 23:01:57,75
2023-07-18 23:01:58,75
2023-07-18 23:01:59,75
2023-07-18 23:02:00,75
2023-07-18 23:02:01,75
2023-07-18 23:02:02,75
2023-07-18 23:02:03,75
2023-07-18 23:02:04,75
2023-07-18 23:02:05,75
2023-07-18 23:02:06,75
2023-07-18 23:02:07,75
2023-07-18 23:02:08,75
2023-07-18 23:02:09,75
2023-07-18 23:02:10,75
2023-07-18 23:02:11,75
2023-07-18 23:02:12,75
2023-07-18 23:02:13,75
2023-07-18 23:02:14,75
2023-07-18 23:02:15,75
2023-07-18 23:02:16,75
2023-07-18 23:02:17,75
2023-07-18 23:02:18,75
2023-07-18 23:02:19,75
2023-07-18 23:02:20,75
2023-07-18 23:02:21,75
2023-07-18 23:02:22,75
2023-07-18 23:02:23,75
2023-07-18 23:02:24,75
2023-07-18 23:02:25,75
2023-07-18 23:02:26,75
2023-07-18 23:02:27,75
2023-07-18 23:02:28,75
2023-07-18 23:02:29,75
2023-07-18 23:02:30,75
2023-07-18 23:02:31,75
2023-07-18 23:02:32,75
2023-07-18 23:02:33,75
2023-07-18 23:02:34,75
2023-07-18 23:02:35,75
2023-07-18 23:02:36,75
2023-07-18 23:02:37,75
2023-07-18 23:02:38,75
2023-07-18 23:02:39,75
2023-07-18 23:02:40,75
2023-07-18 23:02:41,75
2023-07-18 23:02:42,75
2023-07-18 23:02:43,75
2023-07-18 23:02:44,75
2023-07-18 23:02:45,75
2023-07-18 23:02:46,75
2023-07-18 23:02:47,75
2023-07-18 23:02:48,75
2023-07-18 23:02:49,75
2023-07-18 23:02:50,75
2023-07-18 23:02:51,75
2023-07-18 23:02:52,75
2023-07-18 23:02:53,75
2023-07-18 23:02:54,75
2023-07-18 23:02:55,75
2023-07-18 23:02:56,75
2023-07-18 23:02:57,75
2023-07-18 23:02:58,75
2023-07-18 23:02:59,75
2023-07-18 23:03:00,75
2023-07-18 23:03:01,75
2023-07-18 23:03:02,75
2023-07-18 23:03:03,75
2023-07-18 23:03:04,74
2023-07-18 23:03:05,74
2023-07-18 23:03:06,74
2023-07-18 23:03:07,74
2023-07-18 23:03:08,74
2023-07-18 23:03:09,74
2023-07-18 23:03:10,74
2023-07-18 23:03:11,74
2023-07-18 23:03:12,74
2023-07-18 23:03:13,74
2023-07-18 23:03:14,74
2023-07-18 23:03:15,74
2023-07-18 23:03:16,74
2023-07-18 23:03:17,74
2023-07-18 23:03:18,74
2023-07-18 23:03:19,74
2023-07-18 23:03:20,74
2023-07-18 23:03:21,74
2023-07-18 23:03:22,74
2023-07-18 23:03:23,74
2023-07-18 23:03:24,74
2023-07-18 23:03:25,74
2023-07-18 23:03:26,74
2023-07-18 23:03:27,74
2023-07-18 23:03:28,74
2023-07-18 23:03:29,74
2023-07-18 23:03:30,74
2023-07-18 23:03:31,74
2023-07-18 23:03:32,75
2023-07-18 23:03:33,75
2023-07-18 23:03:34,75
2023-07-18 23:03:35,75
2023-07-18 23:03:36,75
2023-07-18 23:03:37,75
2023-07-18 23:03:38,75
2023-07-18 23:03:39,75
2023-07-18 23:03:40,75
2023-07-18 23:03:41,75
2023-07-18 23:03:42,75
2023-07-18 23:03:43,75
2023-07-18 23:03:44,75
2023-07-18 23:03:45,75
2023-07-18 23:03:46,75
2023-07-18 23:03:47,75
2023-07-18 23:03:48,75
2023-07-18 23:03:49,75
2023-07-18 23:03:50,75
2023-07-18 23:03:51,75
2023-07-18 23:03:52,75
2023-07-18 23:03:53,75
2023-07-18 23:03:54,74
2023-07-18 23:03:55,74
2023-07-18 23:03:56,75
2023-07-18 23:03:57,75
2023-07-18 23:03:58,75
2023-07-18 23:03:59,75
2023-07-18 23:04:00,75
2023-07-18 23:04:01,75
2023-07-18 23:04:02,75
2023-07-18 23:04:03,75
2023-07-18 23:04:04,75
2023-07-18 23:04:05,75
2023-07-18 23:04:06,75
2023-07-18 23:04:07,75
2023-07-18 23:04:08,75
2023-07-18 23:04:09,75
2023-07-18 23:04:10,75
2023-07-18 23:04:11,75
2023-07-18 23:04:12,75
2023-07-18 23:04:13,75
2023-07-18 23:04:14,75
2023-07-18 23:04:15,75
2023-07-18 23:04:16,75
2023-07-18 23:04:17,75
2023-07-18 23:04:18,75
2023-07-18 23:04:19,75
2023-07-18 23:04:20,75
2023-07-18 23:04:21,75
2023-07-18 23:04:22,75
2023-07-18 23:04:23,75
2023-07-18 23:04:24,75
2023-07-18 23:04:25,75
2023-07-18 23:04:26,75
2023-07-18 23:04:27,74
2023-07-18 23:04:28,74
2023-07-18 23:04:29,74
2023-07-18 23:04:30,74
2023-07-18 23:04:31,74
2023-07-18 23:04:32,74
2023-07-18 23:04:33,74
2023-07-18 23:04:34,74
2023-07-18 23:04:35,75
2023-07-18 23:04:36,75
